============================================================================================
V2 GEOMETRY   NAMING: A = RED anchor, B = BLUE anchor, C = STUDENT
  (v1 used A red, C blue, B student -- different, stored separately)
============================================================================================
  A (red anchor)   centre (8, 9)    49 cells
  B (blue anchor)  centre (13, 9)   49 cells
  C (student)      centre (10, 12)  49 cells
  A&B  14  <- EXCLUDED from BOTH anchors' training
  A&C  20   B&C  16   triple  8
  exclusive: A 23   B 27   C 21
  C cells shared with an anchor: 28

  REALISED colour value (1.0 = red, 0.0 = blue):
    A exclusive        1.000 .. 1.000
    B exclusive        0.000 .. 0.000
    A&B (excluded)     0.333 .. 0.500
    C shared w/ anchor 0.000 .. 1.000   <- the bias sweep
    C shared, per column: c7=1.00  c8=0.83  c9=0.67  c10=0.50  c11=0.33  c12=0.17  c13=0.00
    cells favouring A (v>0.5): 12;  favouring B (v<0.5): 12;  v==0.5: 4
  offset field: None
[frozen_seed42] nodes=3 coverage max=3 mode=frozen steps=390
[naive_seed42] step 200/390 trained 3/3 | hop0: 0.0042 | hop1: 0.0149
[naive_seed42] step 210/390 trained 3/3 | hop0: 0.0068 | hop1: 0.0134
[naive_seed42] step 220/390 trained 3/3 | hop0: 0.0032 | hop1: 0.0125
[naive_seed42] step 230/390 trained 3/3 | hop0: 0.0052 | hop1: 0.0069
[naive_seed42] step 240/390 trained 3/3 | hop0: 0.0028 | hop1: 0.0096
[naive_seed42] step 250/390 trained 3/3 | hop0: 0.0045 | hop1: 0.0087
[naive_seed42] step 260/390 trained 3/3 | hop0: 0.0052 | hop1: 0.0062
[naive_seed42] step 270/390 trained 3/3 | hop0: 0.0026 | hop1: 0.0039
[naive_seed42] step 280/390 trained 3/3 | hop0: 0.0024 | hop1: 0.0043
[naive_seed42] step 290/390 trained 3/3 | hop0: 0.0048 | hop1: 0.0042
[naive_seed42] step 300/390 trained 3/3 | hop0: 0.0041 | hop1: 0.0026
[naive_seed42] step 310/390 trained 3/3 | hop0: 0.0034 | hop1: 0.0025
[naive_seed42] step 320/390 trained 3/3 | hop0: 0.0051 | hop1: 0.0013
[naive_seed42] step 330/390 trained 3/3 | hop0: 0.0018 | hop1: 0.0011
[naive_seed42] step 340/390 trained 3/3 | hop0: 0.0039 | hop1: 0.0014
[naive_seed42] step 350/390 trained 3/3 | hop0: 0.0033 | hop1: 0.0011
[naive_seed42] step 360/390 trained 3/3 | hop0: 0.0044 | hop1: 0.0014
[naive_seed42] step 370/390 trained 3/3 | hop0: 0.0026 | hop1: 0.0022
[naive_seed42] step 380/390 trained 3/3 | hop0: 0.0020 | hop1: 0.0008
[naive_seed42] mean MSE (last 50 steps): 0.0014 | cert-MSE r=-0.393
[naive_seed42] saved runs\chapter5_v2\s5_3_colour_three_node_v2\naive_seed42\figures\results.png
### naive_seed42 last50=0.00136
[certainty_seed42] nodes=3 coverage max=3 mode=certainty steps=390
[certainty_seed42] step 000/390 trained 3/3 | hop0: 0.1855 | hop1: 0.1709
[certainty_seed42] step 010/390 trained 3/3 | hop0: 0.1001 | hop1: 0.1235
[certainty_seed42] step 020/390 trained 3/3 | hop0: 0.0920 | hop1: 0.1052
[certainty_seed42] step 030/390 trained 3/3 | hop0: 0.0775 | hop1: 0.0989
