arm,n_seeds,whole_run_mse_mean,whole_run_mse_sd,last50_mse_mean,last50_mse_sd,coverage90_mean,coverage90_sd,hw_rms_mean,hw_rms_sd,r_nu_error_mean,r_nu_error_sd
Frozen,5,0.08145612339669459,0.0010996129376285675,0.08113793138565056,0.003475434275141721,0.8365,0.007826237921249281,1.4076318885814318,0.024147876187062475,-0.7382048752312634,0.015514537977987887
Naive,5,0.0011837686712082944,5.193187520574254e-05,0.00047345700128593424,3.0159690734980424e-05,0.952,0.01746872204827818,1.7836833207526614,0.13047975005858914,-0.40784071254335846,0.04132843798545398
Certainty,5,0.0011841535085534134,5.1976288642498004e-05,0.0004714352948758379,3.312196686122099e-05,0.9530000000000001,0.020360040520588353,1.7950140058293338,0.13938902280717003,-0.4086846754429091,0.04030822951205638
Product fusion,5,0.0011868879870432381,5.25171186159254e-05,0.00047950170633829467,2.951153610082901e-05,0.95,0.016298006013006593,1.780811304406554,0.12084067521457627,-0.40788838260611937,0.04262325680022908
Average fusion,5,0.0011876363631756178,5.2757072832713815e-05,0.0004699675227565749,3.064750544768352e-05,0.9655,0.019031224343168243,1.900840378632123,0.13210949536921252,-0.407936993438511,0.038516336102642976
