arm,n_seeds,whole_run_mse_mean,whole_run_mse_sd,last50_mse_mean,last50_mse_sd,coverage90_mean,coverage90_sd,hw_rms_mean,hw_rms_sd,r_nu_error_mean,r_nu_error_sd
Frozen,5,0.08145612339669459,0.0010996129376285675,0.08113793138565056,0.003475434275141721,0.8365,0.007826237921249281,1.4076318885814318,0.024147876187062475,-0.7382048752312634,0.015514537977987887
Naive,5,0.009492861650977477,0.0006840482180756761,0.0006979095950694398,0.00016926218220573736,0.9725,0.016464924840399364,1.9064041547141266,0.1705965490884062,-0.38408406751881013,0.028541608787407947
Certainty,5,0.009494393736787194,0.0006833738683064445,0.0007151267517224579,0.00017808756026336305,0.97175,0.013422229695546118,1.888699425011155,0.1944216210672721,-0.3807621369285705,0.032817267673846115
Product fusion,5,0.009505252816784021,0.0006743084094254908,0.000712702978521692,0.00017643255761136991,0.97275,0.014614846903063998,1.9097741687986882,0.16753696554428732,-0.3715968860978756,0.04703003512208174
Average fusion,5,0.009876299681881634,0.0006701123300719774,0.0007061350387317081,0.0001735703766682769,0.9795,0.012857390870623769,1.9831862427307982,0.15603679307864948,-0.37639320843360813,0.03319512208968651
