arm,n_runs,whole_run_mse_mean,whole_run_mse_sd,last50_mse_mean,last50_mse_sd,coverage90_mean,coverage90_sd,hw_rms_mean,hw_rms_sd,transmitted_bytes_per_node_step,received_bytes_per_node_step
Product fusion,25,0.036409,0.009232,0.024327,0.008769,0.721036,0.099365,1.116391,0.292981,784,1194.4
Gossip uniform,25,0.029416,0.007667,0.021433,0.008552,0.655587,0.145786,0.994673,0.362570,1560080,10350730.8
Gossip weighted,25,0.029679,0.007821,0.022433,0.010664,0.651651,0.149517,0.998794,0.364239,1560080,10350730.8
FedAvg,25,0.029709,0.006229,0.021684,0.007592,0.815183,0.110803,1.513481,0.580587,1560080,2003880.5
